분류,이름,화면 페이지,비고,파일과 미디어,코드,상태,버전
"수정, 중요",활동을 선택하지 않아도 체크리스트 생성 가능하게 변경,A-03,"  • 하단 리포트 참조
  • 활동 데이터는 A 플로우에서 필수 항목이 아님",,CHG-089,수정대기,7차
"수정, 중요","케밥 아이콘을 각각 필터, 편집 아이콘으로 분리",C-01,"  • 하단 리포트 참조",,CHG-090,수정대기,7차
추가,준비물 삭제 안내 바텀 시트 추가,C-04,"  • 하단 리포트 참조",,CHG-093,수정대기,7차
수정,편집 모드 내에서 본래 체크된 항목은 편집 모드 내에서 체크 불가,E-01,"  • 하단 리포트 참조",,CHG-092,수정대기,7차
수정,편집 모드 내에서 필터 아이콘 추가,E-01,"  • 하단 리포트 참조",,CHG-091,수정대기,7차
추가,카테고리도 추가/수정이 가능하도록 DB 스키마 수정 요청,ETC,"  • 하단 리포트 참조",,CHG-094,수정대기,7차
"중요, 추가",아이템 정렬 순서 추가,ETC,"  • 하단 리포트 참조",,CHG-088,수정대기,7차
