분류,이름,화면 페이지,비고,파일과 미디어,코드,상태,버전
추가,일정 공유하기 설명 말풍선 툴팁 추가,B-01,"  • 하단 리포트 참조",,CHG-087,작성필요,6차
수정,“내 여행 준비” 텍스트 크기 20px로 증가,B-01,"  • 하단 리포트 참조",,CHG-086,수정대기,6차
"수정, 중요","D-N 태그, NEW 태그, 날짜 및 일수, 활동 태그 텍스트 색상 변경",B-01,"  • 구체적인 색상은 하단 리포트 참조
  • 이외의 부분은 현재 색상 유지","%EB%82%B4%EC%9D%BC%EB%B0%B0%EC%9B%80%EC%BA%A0%ED%94%84%20PM%20%ED%8A%B8%EB%9E%99(Main)/%5BPM%5D%20%ED%9A%8C%EC%B0%A8%EB%B3%84%20%EC%9A%B4%EC%98%81%20%EC%A0%95%EB%B3%B4/%5BPM%207%EA%B8%B0%5D%20%EC%B1%95%ED%84%B0%EB%B3%84%20%EC%9A%B4%EC%98%81%20%EC%9E%90%EB%A3%8C%20%EB%AA%A8%EC%9D%8C/%5BPM%207%5D%20%ED%9B%88%EB%A0%A8%EC%83%9D%20Docs/%EC%A3%BC%EC%B0%A8%EB%B3%84%20%ED%8C%80%20%EB%8C%80%EC%8B%9C%EB%B3%B4%EB%93%9C/%5B%ED%8C%80%20%EB%8C%80%EC%8B%9C%EB%B3%B4%EB%93%9C%5D%20%EC%B5%9C%EC%A2%85%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%5B2%ED%8C%80%5D%20%EC%95%882%EC%9E%98%EB%B6%80/%F0%9F%9A%A6%20%EC%B5%9C%EC%A2%85%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20DB/%EA%B8%B0%EB%8A%A5%20%EB%AA%85%EC%84%B8%EC%84%9C%20v2%20%EC%A0%9C%EC%B6%9C%EC%95%88/%EC%88%98%EC%A0%95%20%ED%95%AD%EB%AA%A9%20%EC%A0%95%EB%A6%AC/D-N%20%ED%83%9C%EA%B7%B8,%20NEW%20%ED%83%9C%EA%B7%B8,%20%EB%82%A0%EC%A7%9C%20%EB%B0%8F%20%EC%9D%BC%EC%88%98,%20%ED%99%9C%EB%8F%99%20%ED%83%9C%EA%B7%B8%20%ED%85%8D%EC%8A%A4%ED%8A%B8%20%EC%83%89%EC%83%81%20%EB%B3%80%EA%B2%BD/image.png",CHG-082,수정대기,6차
수정,모바일 환경에서 하트 아이콘 클릭 시 효과 삭제,C-01,"  • 하단 리포트 참조",,CHG-083,수정대기,6차
수정,iOS 환경에서 카테고리명 색상을 Text Default로 변경,D-01,"  • 하단 리포트 참조",%EB%82%B4%EC%9D%BC%EB%B0%B0%EC%9B%80%EC%BA%A0%ED%94%84%20PM%20%ED%8A%B8%EB%9E%99(Main)/%5BPM%5D%20%ED%9A%8C%EC%B0%A8%EB%B3%84%20%EC%9A%B4%EC%98%81%20%EC%A0%95%EB%B3%B4/%5BPM%207%EA%B8%B0%5D%20%EC%B1%95%ED%84%B0%EB%B3%84%20%EC%9A%B4%EC%98%81%20%EC%9E%90%EB%A3%8C%20%EB%AA%A8%EC%9D%8C/%5BPM%207%5D%20%ED%9B%88%EB%A0%A8%EC%83%9D%20Docs/%EC%A3%BC%EC%B0%A8%EB%B3%84%20%ED%8C%80%20%EB%8C%80%EC%8B%9C%EB%B3%B4%EB%93%9C/%5B%ED%8C%80%20%EB%8C%80%EC%8B%9C%EB%B3%B4%EB%93%9C%5D%20%EC%B5%9C%EC%A2%85%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/%5B2%ED%8C%80%5D%20%EC%95%882%EC%9E%98%EB%B6%80/%F0%9F%9A%A6%20%EC%B5%9C%EC%A2%85%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20DB/%EA%B8%B0%EB%8A%A5%20%EB%AA%85%EC%84%B8%EC%84%9C%20v2%20%EC%A0%9C%EC%B6%9C%EC%95%88/%EC%88%98%EC%A0%95%20%ED%95%AD%EB%AA%A9%20%EC%A0%95%EB%A6%AC/iOS%20%ED%99%98%EA%B2%BD%EC%97%90%EC%84%9C%20%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EB%AA%85%20%EC%83%89%EC%83%81%EC%9D%84%20Text%20Default%EB%A1%9C%20%EB%B3%80%EA%B2%BD/image.png,CHG-084,수정대기,6차
"수정, 중요",삭제율 높음 코멘트 표기 방식 수정 필요,E-01,"  • 하단 리포트 참조
  • 편집 모드에 진입할 때 삭제율을 체크하여 조건에 맞게 표시하는 방식으로 변경",,CHG-075,수정대기,"5차, 6차"
"수정, 중요",chaenggyeoyo.me로 도메인 변경,ETC,"  • 하단 리포트 참조",,CHG-085,수정대기,6차
